Player,Country,Mat,Inns,NO,fifties,hundreds,zeros,HS ,Runs,Batting_sr,Batting_avg,Ca,St,PerRuns
Shakib Al Hasan,Bangladesh,8,8,1,5,2,0,124*,606,96.04,86.57,3,0, 26.60
"Williamson, K S",New Zealand,10,9,2,2,2,0,148,578,74.97,82.57,6,0, 26.83
"Sharma, R G",India,9,9,1,1,5,0,140,648,98.33,81,4,0, 25.76
"Jadeja, R A",India,2,1,0,1,0,0,77,77,130.51,77,3,0, 3.06
Samiullah Shinwari,Afghanistan,3,3,2,0,0,0,49*,74,80.43,74,0,0, 4.04
"Warner, D A",Australia,10,10,1,3,3,0,166,647,89.36,71.89,4,0, 22.30
Babar Azam,Pakistan,8,8,1,3,1,0,101*,474,87.94,67.71,5,0, 23.41
"Stokes, B A",England,11,10,3,5,0,0,89,465,93.19,66.43,3,0, 14.61
"du Plessis, F",South Africa,9,8,2,3,1,0,100,387,89.58,64.5,10,0, 20.01
"Roy, J J",England,8,7,0,4,1,0,153,443,115.36,63.29,1,0, 13.92
"Dhawan, S",India,2,2,0,0,1,0,117,125,103.31,62.5,0,0, 4.97
"Carey, A T",Australia,10,9,3,3,0,0,85,375,104.17,62.5,18,2, 12.93
"van der Dussen, H E",South Africa,9,6,1,3,0,0,95,311,90.41,62.2,3,0, 16.08
"Plunkett, L E",England,7,5,4,0,0,0,27*,62,151.22,62,1,0, 1.95
"Root, J E",England,11,11,2,3,2,0,107,556,89.53,61.78,13,0, 17.47
"Kohli, V",India,9,9,1,5,0,0,82,443,94.06,55.38,6,0, 17.61
Imad Wasim,Pakistan,6,5,2,0,0,0,49*,162,118.25,54,1,0, 8.00
"Pooran, N",West Indies,9,8,1,2,1,0,118,367,100.27,52.43,1,0, 18.64
Mushfiqur Rahim,Bangladesh,8,8,1,2,1,0,102*,367,92.68,52.43,8,2, 16.11
"Fernando, W I A",Sri Lanka,4,4,0,0,1,0,104,203,105.73,50.75,0,0, 12.52
"Finch, A J",Australia,10,10,0,3,2,1,153,507,102.01,50.7,5,0, 17.48
"Bairstow, J M",England,11,11,0,2,2,2,111,532,92.84,48.36,9,0, 16.71
Liton Das,Bangladesh,5,5,1,1,0,0,94*,184,110.18,46,3,0, 8.08
"Dhoni, M S",India,9,8,2,2,0,0,56*,273,87.78,45.5,7,3, 10.85
"Rahul, K L",India,9,9,1,2,1,1,111,361,77.47,45.13,1,0, 14.35
Mahmudullah,Bangladesh,7,6,1,1,0,0,69,219,89.75,43.8,2,0, 9.61
"Morgan, E J G",England,11,10,1,1,1,0,148,371,111.08,41.22,4,0, 11.66
"Mathews, A D",Sri Lanka,7,7,1,1,1,2,113,244,77.71,40.67,2,0, 15.05
"Amla, H M",South Africa,7,7,2,2,0,0,80*,203,64.86,40.6,4,0, 10.50
"Jadhav, K M",India,6,5,3,1,0,0,52,80,80.81,40,4,0, 3.18
Haris Sohail,Pakistan,5,5,0,2,0,0,89,198,94.74,39.6,2,0, 9.78
"Perera, M D K J",Sri Lanka,7,7,0,3,0,0,78,273,110.98,39,8,0, 16.84
"Taylor, L R P L",New Zealand,10,9,0,3,0,0,82,350,75.27,38.89,0,0, 16.25
"de Kock, Q",South Africa,9,9,1,3,0,0,68,305,86.89,38.13,9,0, 15.77
Imam-ul-Haq,Pakistan,8,8,0,1,1,0,100,305,76.25,38.13,2,0, 15.06
"Smith, S P D",Australia,10,10,0,4,0,0,85,379,85.94,37.9,3,0, 13.06
"Karunaratne, F D M",Sri Lanka,7,7,1,2,0,1,97,222,71.38,37,2,0, 13.70
"Hetmeyer, S O",West Indies,9,8,1,2,0,0,54,257,101.58,36.71,2,0, 13.05
