Player,Country,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,position
RG Sharma ,INDIA,9,9,1,648,140,81,659,98.33,5,1,0,67,14,1 to 3
DA Warner ,AUS,10,10,1,647,166,71.88,724,89.36,3,3,0,66,8,1 to 3
Shakib Al Hasan ,BDESH,8,8,1,606,124,86.57,631,96.03,2,5,0,60,2,1 to 3
KS Williamson ,NZ,10,9,2,578,148,82.57,771,74.96,2,2,0,50,3,1 to 3
JE Root ,ENG,11,11,2,556,107,61.77,621,89.53,2,3,0,48,2,1 to 3
JM Bairstow ,ENG,11,11,0,532,111,48.36,573,92.84,2,2,2,67,11,1 to 3
AJ Finch ,AUS,10,10,0,507,153,50.7,497,102.01,2,3,1,47,18,1 to 3
Babar Azam ,PAK,8,8,1,474,101,67.71,540,87.77,1,3,0,50,2,1 to 3
V Kohli ,INDIA,9,9,1,443,82,55.37,471,94.05,0,5,0,38,2,1 to 3
JJ Roy ,ENG,7,7,0,443,153,63.28,384,115.36,1,4,0,51,12,1 to 3
F du Plessis ,SA,6,6,1,382,100,76.4,418,91.38,1,3,0,35,4,1 to 3
KL Rahul ,INDIA,7,7,0,324,111,46.28,421,76.95,1,2,1,28,4,1 to 3
Q de Kock ,SA,9,9,1,305,68,38.12,351,86.89,0,3,0,34,4,1 to 3
Imam-ul-Haq ,PAK,8,8,0,305,100,38.12,400,76.25,1,1,0,31,1,1 to 3
SD Hope ,WI,9,8,0,274,96,34.25,389,70.43,0,3,0,21,3,1 to 3
MDKJ Perera ,SL,7,7,0,273,78,39,246,110.97,0,3,0,32,1,1 to 3
UT Khawaja ,AUS,7,7,0,256,89,36.57,303,84.48,0,2,0,23,0,1 to 3
Rahmat Shah ,AFG,9,9,0,254,62,28.22,390,65.12,0,1,1,31,1,1 to 3
CH Gayle ,WI,9,8,0,242,87,30.25,274,88.32,0,2,1,26,12,1 to 3
Tamim Iqbal ,BDESH,8,8,0,235,62,29.37,328,71.64,0,1,0,25,0,1 to 3
FDM Karunaratne ,SL,7,7,1,222,97,37,311,71.38,0,2,1,22,0,1 to 3
HM Amla ,SA,7,7,2,203,80,40.6,313,64.85,0,2,0,16,0,1 to 3
WIA Fernando ,SL,4,4,0,203,104,50.75,192,105.72,1,0,0,23,4,1 to 3
Fakhar Zaman ,PAK,8,8,0,186,62,23.25,227,81.93,0,1,2,24,3,1 to 3
MJ Guptill ,NZ,10,10,1,186,73,20.66,221,84.16,0,1,2,22,4,1 to 3
SPD Smith ,AUS,3,3,0,164,85,54.66,202,81.18,0,2,0,12,1,1 to 3
Soumya Sarkar ,BDESH,7,7,0,163,42,23.28,154,105.84,0,0,0,24,2,1 to 3
Gulbadin Naib ,AFG,5,5,0,131,47,26.2,163,80.36,0,0,0,13,1,1 to 3
E Lewis ,WI,4,4,0,131,70,32.75,158,82.91,0,2,0,12,4,1 to 3
S Dhawan ,INDIA,2,2,0,125,117,62.5,121,103.3,1,0,0,17,0,1 to 3
C Munro ,NZ,6,6,1,125,58,25,128,97.65,0,1,1,17,2,1 to 3
Hazratullah Zazai ,AFG,5,5,0,96,34,19.2,102,94.11,0,0,1,12,2,1 to 3
AK Markram ,SA,4,4,0,95,45,23.75,115,82.6,0,0,0,13,1,1 to 3
HM Nicholls ,NZ,4,4,0,91,55,22.75,149,61.07,0,1,1,8,0,1 to 3
Ikram Alikhil ,AFG,1,1,0,86,86,86,93,92.47,0,1,0,8,0,1 to 3
Noor Ali Zadran ,AFG,3,3,0,63,32,21,103,61.16,0,0,1,9,0,1 to 3
HDRL Thirimanne ,SL,3,3,0,45,25,15,62,72.58,0,0,0,3,0,1 to 3
JM Vince ,ENG,3,3,0,40,26,13.33,51,78.43,0,0,1,5,0,1 to 3
CR Woakes ,ENG,1,1,0,40,40,40,54,74.07,0,0,0,4,0,1 to 3
SW Ambris ,WI,2,2,0,36,31,18,46,78.26,0,0,0,3,0,1 to 3
AL Phehlukwayo ,SA,1,1,1,17,17,-,17,100,0,0,0,2,1,1 to 3
Liton Das ,BDESH,1,1,0,16,16,16,17,94.11,0,0,0,2,0,1 to 3
Hashmatullah Shahidi ,AFG,2,2,0,11,11,5.5,32,34.37,0,0,1,0,0,1 to 3
Mohammad Shahzad ,AFG,2,2,0,7,7,3.5,15,46.66,0,0,1,1,0,1 to 3
N Pooran ,WI,1,1,0,1,1,1,7,14.28,0,0,0,0,0,1 to 3
DM Bravo ,WI,2,1,0,0,0,0,4,0,0,0,1,0,0,1 to 3
BA Stokes ,ENG,11,10,3,465,89,66.42,499,93.18,0,5,0,38,11,4 to 7
AT Carey ,AUS,10,9,3,375,85,62.5,360,104.16,0,3,0,46,2,4 to 7
EJG Morgan ,ENG,11,10,1,371,148,41.22,334,111.07,1,1,0,26,22,4 to 7
Mushfiqur Rahim ,BDESH,8,8,1,367,102*,52.42,396,92.67,1,2,0,30,2,4 to 7
N Pooran ,WI,8,7,1,366,118,61,359,101.94,1,2,0,33,10,4 to 7
LRPL Taylor ,NZ,10,9,0,350,82,38.88,465,75.26,0,3,0,29,2,4 to 7
JC Buttler ,ENG,11,9,0,312,103,34.66,254,122.83,1,2,0,22,8,4 to 7
HE van der Dussen ,SA,9,6,1,311,95,62.2,344,90.4,0,3,0,14,10,4 to 7
